Log Analysis Report - 2026-07-20

Log file: day20_sample.log
Total lines processed: 200
Total error count (ERROR or Failed): 38

--- Top 5 Error Messages ---
1 Segmentation fault - 9783
1 Segmentation fault - 5514
1 Segmentation fault - 5193
1 Segmentation fault - 25395
1 Segmentation fault - 22980

--- Critical Events ---
2:2026-07-20 19:20:12 [CRITICAL]  - 14253
3:2026-07-20 19:20:12 [CRITICAL]  - 3975
4:2026-07-20 19:20:12 [CRITICAL]  - 21163
10:2026-07-20 19:20:12 [CRITICAL]  - 28482
11:2026-07-20 19:20:12 [CRITICAL]  - 25192
17:2026-07-20 19:20:12 [CRITICAL]  - 22817
18:2026-07-20 19:20:12 [CRITICAL]  - 25427
19:2026-07-20 19:20:12 [CRITICAL]  - 17157
20:2026-07-20 19:20:12 [CRITICAL]  - 10371
26:2026-07-20 19:20:12 [CRITICAL]  - 2253
31:2026-07-20 19:20:12 [CRITICAL]  - 69
33:2026-07-20 19:20:12 [CRITICAL]  - 26432
53:2026-07-20 19:20:12 [CRITICAL]  - 19452
79:2026-07-20 19:20:12 [CRITICAL]  - 25014
108:2026-07-20 19:20:12 [CRITICAL]  - 21965
114:2026-07-20 19:20:12 [CRITICAL]  - 11852
120:2026-07-20 19:20:12 [CRITICAL]  - 19304
127:2026-07-20 19:20:12 [CRITICAL]  - 2901
133:2026-07-20 19:20:12 [CRITICAL]  - 29780
134:2026-07-20 19:20:12 [CRITICAL]  - 25578
135:2026-07-20 19:20:12 [CRITICAL]  - 29421
140:2026-07-20 19:20:12 [CRITICAL]  - 16834
147:2026-07-20 19:20:12 [CRITICAL]  - 14727
153:2026-07-20 19:20:12 [CRITICAL]  - 22286
161:2026-07-20 19:20:12 [CRITICAL]  - 30076
171:2026-07-20 19:20:12 [CRITICAL]  - 13276
172:2026-07-20 19:20:12 [CRITICAL]  - 5339
187:2026-07-20 19:20:13 [CRITICAL]  - 8826
192:2026-07-20 19:20:13 [CRITICAL]  - 7015
193:2026-07-20 19:20:13 [CRITICAL]  - 25648
195:2026-07-20 19:20:13 [CRITICAL]  - 1058
196:2026-07-20 19:20:13 [CRITICAL]  - 6780
200:2026-07-20 19:20:13 [CRITICAL]  - 25252
